state,year,Restaurants,Obesity,X,Y,Rank,Obesity_Rank,Population,restaurants_per_capita
Alabama,2020,4451,39.0,1030,683,19,3,5033094,0.000884346686153686
Alaska,2020,439,31.9,265,794,49,26,733017,0.0005988947050341261
Arizona,2020,4277,30.9,482,631,21,31,7187135,0.0005950910898431712
Arkansas,2020,2354,36.4,905,617,33,9,3014546,0.000780880437717653
California,2020,31411,30.3,310,563,1,35,39521958,0.0007947733763595417
Colorado,2020,4377,24.2,611,478,20,51,5787129,0.0007563335809517984
Connecticut,2020,2669,29.2,1333,385,29,38,3579918,0.0007455478030502375
Delaware,2020,771,36.5,1297,493,45,7,991928,0.0007772741569952657
District of Columbia,2020,815,24.3,1193,456,44,50,670917,0.001214755327410097
Florida,2020,15658,28.4,1136,828,4,42,21592035,0.0007251748156206676
Georgia,2020,9368,34.3,1098,680,8,17,10732888,0.0008728312454206174
Hawaii,2020,1502,24.5,587,912,36,48,1451252,0.0010349684272614266
Idaho,2020,1313,31.1,428,316,40,28,1849415,0.0007099542287696379
Illinois,2020,9327,32.4,967,433,9,23,12799088,0.0007287237965705057
Indiana,2020,5065,36.8,1037,432,16,5,6790497,0.0007458953299000059
Iowa,2020,2166,36.5,873,370,34,7,3191141,0.0006787540882712484
Kansas,2020,2104,35.3,772,485,35,15,2938172,0.0007160915017909095
Kentucky,2020,3488,36.6,1075,527,26,6,4508318,0.0007736810047560976
Louisiana,2020,4027,38.1,901,743,22,4,4652301,0.0008655931763658457
Maine,2020,990,31.0,1409,249,42,29,1364571,0.000725502740421715
Maryland,2020,5136,31.0,1243,458,15,29,6177935,0.0008313457490245527
Massachusetts,2020,5184,24.4,1366,357,14,49,6994598,0.0007411433795051553
Michigan,2020,6077,35.2,1066,320,12,16,10072703,0.000603313728201854
Minnesota,2020,3958,30.7,857,224,23,33,5710735,0.0006930806629969697
Mississippi,2020,2423,39.7,963,679,32,1,2958536,0.0008189861472025353
Missouri,2020,4527,34.0,901,493,18,18,6154744,0.0007355301861458413
Montana,2020,750,28.5,532,179,46,41,1087230,0.0006898264396677796
Nebraska,2020,1490,34.0,739,390,37,18,1963387,0.0007588926686384294
Nevada,2020,2631,28.7,366,470,30,39,3116967,0.0008440897834337033
New Hampshire,2020,1060,29.9,1377,326,41,37,1378756,0.0007688089843308026
New Jersey,2020,7008,27.7,1320,456,10,45,9272794,0.0007557592673793896
New Mexico,2020,1480,30.9,605,635,38,31,2118606,0.0006985725519516135
New York,2020,16784,26.3,1266,323,3,46,20105171,0.0008348101092997418
North Carolina,2020,9710,33.6,1199,582,7,20,10449652,0.0009292175471489385
North Dakota,2020,507,33.1,739,159,48,22,779563,0.0006503643708077474
Ohio,2020,9937,35.5,1106,433,5,14,11798905,0.0008421967970756608
Oklahoma,2020,2825,36.4,792,594,28,9,3965415,0.0007124096721276335
Oregon,2020,3177,28.1,287,300,27,43,4243779,0.0007486252229439846
Pennsylvania,2020,9764,31.5,1220,413,6,27,12996143,0.0007512998279566484
Rhode Island,2020,864,30.1,1367,428,43,36,1096530,0.0007879401384367049
South Carolina,2020,3825,36.2,1170,659,24,11,5132249,0.0007452872999731696
South Dakota,2020,579,33.2,739,287,47,21,887948,0.0006520652110258709
Tennessee,2020,5412,35.6,1041,582,13,13,6927904,0.0007811886538843495
Texas,2020,20666,35.8,763,746,2,12,29239570,0.0007067819396796875
Utah,2020,2584,28.6,486,486,31,40,3284077,0.0007868268618549443
Vermont,2020,372,26.3,1326,266,50,46,642977,0.000578558797593071
Virginia,2020,6718,32.2,1210,530,11,25,8637615,0.0007777609907364475
Washington,2020,4797,28.0,289,178,17,44,7727209,0.0006207933550134337
West Virginia,2020,1398,39.1,1157,495,39,2,1791646,0.0007802880702996016
Wisconsin,2020,3621,32.3,963,276,25,24,5897375,0.0006140019924118781
Wyoming,2020,355,30.7,573,324,51,33,577681,0.0006145260100297569
Alabama,2021,4419,39.9,1030,683,19,3,5049196,0.0008751888419463217
Alaska,2021,428,33.5,265,794,49,29,734420,0.0005827728003050026
Arizona,2021,4256,31.3,482,631,21,36,7274078,0.0005850913339120092
Arkansas,2021,2347,38.7,905,617,33,6,3026870,0.0007753884375609128
California,2021,30867,27.6,310,563,1,47,39142565,0.0007885788782620659
Colorado,2021,4376,25.1,611,478,20,49,5814036,0.0007526613182305716
Connecticut,2021,2674,30.4,1333,385,29,40,3606607,0.0007414170715023844
Delaware,2021,779,33.9,1297,493,45,26,1005062,0.000775076562440924
District of Columbia*,2021,819,24.7,1193,456,44,51,,
Florida,2021,15600,37.4,1136,828,4,10,21831949,0.0007145491224810025
Georgia,2021,9393,33.9,1098,680,7,26,10792060,0.0008703620995435533
Hawaii,2021,1490,25.0,587,912,36,50,1447029,0.001029696018531764
Idaho,2021,1316,31.6,428,316,40,35,1904848,0.0006908687727314725
Illinois,2021,9242,34.2,967,433,8,24,12700641,0.0007276798076569521
Indiana,2021,5041,36.3,1037,432,16,13,6815907,0.0007395934246168559
Iowa,2021,2168,36.4,873,370,34,12,3198613,0.0006777937812420572
Kansas,2021,2083,36.0,772,485,35,16,2938338,0.0007089041492163257
Kentucky,2021,3498,40.3,1075,527,26,2,4507583,0.0007760256438982931
Louisiana,2021,4009,38.6,901,743,22,7,4627971,0.0008662543477476415
Maine,2021,992,31.9,1409,249,42,33,1378931,0.0007193978523943547
Maryland,2021,5150,34.3,1243,458,15,23,6179403,0.0008334138427288203
Massachusetts,2021,5189,27.4,1366,357,14,48,7000474,0.0007412355220517924
Michigan,2021,6089,34.4,1066,320,12,22,10041351,0.0006063925063470044
Minnesota,2021,3918,32.4,857,224,23,31,5718660,0.0006851255364018844
Mississippi,2021,2422,39.1,963,679,32,5,2947209,0.0008217944502748193
Missouri,2021,4504,37.3,901,493,18,11,6171374,0.000729821268326956
Montana,2021,750,31.8,532,179,46,34,1106522,0.000677799447277144
Nebraska,2021,1475,35.9,739,390,37,18,1964537,0.0007508130414443709
Nevada,2021,2669,31.3,366,470,30,36,3148141,0.0008478019250090767
New Hampshire,2021,1048,30.6,1377,326,41,39,1387677,0.0007552189738678381
New Jersey,2021,6969,28.2,1320,456,10,46,9270541,0.00075173606373134
New Mexico,2021,1468,34.6,605,635,38,21,2117333,0.0006933250461783763
New York,2021,16917,29.1,1266,323,3,43,19848276,0.0008523158384133715
North Carolina,2021,7937,36.0,1199,582,9,16,10564320,0.000751302497463159
North Dakota,2021,506,35.2,739,159,48,19,777966,0.0006504140283765614
Ohio,2021,9948,37.7,1106,433,5,9,11767344,0.0008453904296500552
Oklahoma,2021,2805,39.4,792,594,28,4,3992238,0.0007026134213441183
Oregon,2021,3163,30.4,287,300,27,40,4254280,0.0007434865594178098
Pennsylvania,2021,9546,33.3,1220,413,6,30,13015571,0.0007334292133629788
Rhode Island,2021,868,30.1,1367,428,43,42,1097246,0.0007910714643753543
South Carolina,2021,3818,36.1,1170,659,24,14,5194274,0.0007350401615317174
South Dakota,2021,577,38.4,739,287,47,8,896492,0.0006436197980573167
Tennessee,2021,5392,35.0,1041,582,13,20,6965740,0.0007740742548530379
Texas,2021,20779,36.1,763,746,2,14,29570351,0.0007026971035954223
Utah,2021,2569,30.9,486,486,31,38,3339738,0.000769222016816888
Vermont,2021,376,29.0,1326,266,50,44,647210,0.0005809551768359574
Virginia,2021,6703,34.2,1210,530,11,24,8658910,0.0007741159106631205
Washington,2021,4888,28.8,289,178,17,45,7743760,0.0006312179096459601
West Virginia,2021,1393,40.6,1157,495,39,1,1785618,0.0007801220641817007
Wisconsin,2021,3609,33.9,963,276,25,26,5881608,0.0006136077072800499
Wyoming,2021,356,32.0,573,324,51,32,579636,0.0006141785534369846
